Player Prop,Game Start,Over Bet Sportsbook,Best Over Odds,Best Odds Over Line,Under Bet Sportsbook,Best Under Odds,Best Odds Under Line,Fair Odds Over,Fair Odds Over Line,Fair Odds Under,Fair Odds Under Line,Bet on Over,Bet on Under,% Profit if Over Hits,% Profit if Under Hits,% Profit if Middle Hits,Over Edge (%),Under Edge (%),Kelly Over Bet (% of bankroll),Kelly Under Bet (% of bankroll)
Keyonte George - player_rebounds,2025-03-04T02:10:00Z,draftkings,-115.0,3.5,fanduel,130.0,3.5,-123.02,3.5,123.02,3.5,55.16,44.84,3.03,3.03,,3.13,3.13,3.6,2.41
Aaron Nesmith - player_points,2025-03-05T00:10:00Z,fanduel,-114.0,11.5,betrivers,117.0,11.5,-115.6,11.5,115.6,11.5,53.62,46.38,0.65,0.65,,0.65,0.65,0.74,0.56
Alperen Sengun - player_blocks,2025-03-05T00:10:00Z,draftkings,165.0,0.5,betmgm,-164.0,0.5,164.62,0.5,-164.62,0.5,37.79,62.21,0.14,0.14,,0.14,0.14,0.09,0.23
Franz Wagner - player_assists,2025-03-05T00:10:00Z,betrivers,-135.0,3.5,bovada,135.0,3.5,-135.0,3.5,135.0,3.5,,,,,,0.0,,0.0,
Immanuel Quickley - player_points,2025-03-05T00:10:00Z,betrivers,123.0,18.5,fanduel,-110.0,18.5,116.81,18.5,-116.81,18.5,46.12,53.88,2.78,2.78,,2.86,2.86,2.32,3.14
Ja'Kobe Walter - player_points,2025-03-05T00:10:00Z,draftkings,-120.0,8.5,betrivers,112.0,9.5,-111.82,8.5,111.82,8.5,,,,,,,0.08,,0.08
Jakob Poeltl - player_points,2025-03-05T00:10:00Z,betmgm,110.0,10.5,betrivers,120.0,10.5,-104.76,10.5,104.76,10.5,51.16,48.84,6.93,6.93,,7.44,7.44,6.76,6.2
Jalen Green - player_points,2025-03-05T00:10:00Z,betrivers,117.0,23.5,bovada,-110.0,23.5,113.67,23.5,-113.67,23.5,46.8,53.2,1.54,1.54,,1.56,1.56,1.33,1.72
Kentavious Caldwell-Pope - player_points,2025-03-05T00:10:00Z,fanduel,-114.0,7.5,betrivers,120.0,7.5,-117.2,7.5,117.2,7.5,53.96,46.04,1.27,1.27,,1.29,1.29,1.47,1.07
R.J. Barrett - player_points,2025-03-05T00:10:00Z,betrivers,110.0,18.5,bovada,105.0,18.5,102.44,18.5,-102.44,18.5,49.4,50.6,3.6,3.6,,3.73,3.74,3.39,3.56
