sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,draftkings_line,draftkings_under_price,draftkings_over_price,fanduel_line,fanduel_over_price,fanduel_under_price,bovada_line,bovada_over_price,bovada_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betrivers_line,betrivers_over_price,betrivers_under_price,vig_from_best_odds,fair_odds_over,fair_odds_under,best_odds_over,best_odds_under,best_odds_over_sportsbook,best_odds_under_sportsbook,best_odds_over_line,best_odds_under_line,fair_line,fair_line_method
basketball_nba,16012c27cfc786cfc9825a4c23b045f0,2025-03-04T01:40:00Z,Sacramento Kings,Dallas Mavericks,player_threes,DeMar DeRozan,,,2025-03-04 03:52:03.554126,0.5,,5000.0,,,,,,,,,,,,,,,,,,,5000.0,,draftkings,,0.5,,0.5,median
basketball_nba,16012c27cfc786cfc9825a4c23b045f0,2025-03-04T01:40:00Z,Sacramento Kings,Dallas Mavericks,player_threes,Kessler Edwards,,,2025-03-04 03:52:03.554119,0.5,-10000.0,2000.0,,,,,,,,,,,,,,,,3.77,2079.21,-2079.21,2000.0,-10000.0,draftkings,draftkings,0.5,0.5,0.5,median
basketball_nba,16012c27cfc786cfc9825a4c23b045f0,2025-03-04T01:40:00Z,Sacramento Kings,Dallas Mavericks,player_threes,Kyrie Irving,,,2025-03-04 03:52:03.554112,0.5,-5000.0,1400.0,,,,,,,,,,,,,,,,4.71,1470.59,-1470.59,1400.0,-5000.0,draftkings,draftkings,0.5,0.5,0.5,median
basketball_nba,16012c27cfc786cfc9825a4c23b045f0,2025-03-04T01:40:00Z,Sacramento Kings,Dallas Mavericks,player_threes,Max Christie,,,2025-03-04 03:52:03.554093,1.5,-3333.0,1200.0,,,,,,,,,,,,,,,,4.78,1262.13,-1262.13,1200.0,-3333.0,draftkings,draftkings,1.5,1.5,1.5,median
basketball_nba,16012c27cfc786cfc9825a4c23b045f0,2025-03-04T01:40:00Z,Sacramento Kings,Dallas Mavericks,player_threes,Spencer Dinwiddie,,,2025-03-04 03:52:03.554063,1.5,-2500.0,1100.0,,,,,,,,,,,,,,,,4.49,1153.85,-1153.85,1100.0,-2500.0,draftkings,draftkings,1.5,1.5,1.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_assists,Ausar Thompson,,,2025-03-04 03:52:03.667421,3.5,-189.0,145.0,,,,,,,,,,,,,,,,6.21,160.22,-160.22,145.0,-189.0,draftkings,draftkings,3.5,3.5,3.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_assists_alternate,Ausar Thompson,,,2025-03-04 03:52:03.667474,3.5,,135.0,,,,,,,,,,,,,,,,,,,135.0,,draftkings,,3.5,,3.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_rebounds,Ausar Thompson,,,2025-03-04 03:52:03.668042,4.5,-154.0,120.0,,,,,,,,,,,,,,,,6.08,133.39,-133.39,120.0,-154.0,draftkings,draftkings,4.5,4.5,4.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_rebounds_alternate,Ausar Thompson,,,2025-03-04 03:52:03.668116,4.5,,275.0,,,,,,,,,,,,,,,,,,,275.0,,draftkings,,4.5,,4.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_rebounds_assists,Ausar Thompson,,,2025-03-04 03:52:03.668155,7.5,-143.0,110.0,,,,,,,,,,,,,,,,6.47,123.58,-123.58,110.0,-143.0,draftkings,draftkings,7.5,7.5,7.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_rebounds,Brice Sensabaugh,,,2025-03-04 03:52:03.668074,2.5,-115.0,-115.0,,,,,,,,,,,,,,,,6.98,100.0,100.0,-115.0,-115.0,draftkings,draftkings,2.5,2.5,2.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_threes,Brice Sensabaugh,,,2025-03-04 03:52:03.668235,0.5,-154.0,120.0,,,,,,,,,,,,,,,,6.08,133.39,-133.39,120.0,-154.0,draftkings,draftkings,0.5,0.5,0.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_assists,Cade Cunningham,,,2025-03-04 03:52:03.667370,9.5,120.0,-154.0,7.5,-145.0,108.0,,,,,,,,,,,,,,,,-145.0,120.0,fanduel,draftkings,7.5,9.5,8.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_assists_alternate,Cade Cunningham,,,2025-03-04 03:52:03.667454,11.5,,-164.0,9.5,390.0,,,,,,,,,,,,,,,,,390.0,,fanduel,,9.5,,10.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_points,Cade Cunningham,,,2025-03-04 03:52:03.667500,25.5,-115.0,-115.0,26.5,-112.0,-118.0,,,,,,,,,,,,,,,,-115.0,-118.0,draftkings,fanduel,25.5,26.5,26.0,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_points_alternate,Cade Cunningham,,,2025-03-04 03:52:03.667571,25.5,,320.0,29.5,1200.0,,,,,,,,,,,,,,,,,320.0,,draftkings,,25.5,,27.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_points_assists,Cade Cunningham,,,2025-03-04 03:52:03.667632,35.5,-120.0,-110.0,,,,,,,,,,,,,,,,6.93,104.13,-104.13,-110.0,-120.0,draftkings,draftkings,35.5,35.5,35.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_points_assists_alternate,Cade Cunningham,,,2025-03-04 03:52:03.667696,39.5,,-179.0,,,,,,,,,,,,,,,,,,,-179.0,,draftkings,,39.5,,39.5,median
