sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,bovada_line,bovada_over_price,bovada_under_price,draftkings_line,draftkings_over_price,draftkings_under_price,fanduel_line,fanduel_over_price,fanduel_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,betrivers_line,betrivers_over_price,betrivers_under_price,vig_from_best_odds,fair_odds_over,fair_odds_under,best_odds_over,best_odds_under,best_odds_over_sportsbook,best_odds_under_sportsbook,best_odds_over_line,best_odds_under_line,fair_line,fair_line_method
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_assists,Ausar Thompson,,,2025-03-03 23:03:33.445164,,,,,,,4.5,-114.0,-114.0,,,,,,,,,,6.54,100.0,100.0,-114.0,-114.0,fanduel,fanduel,4.5,4.5,4.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_assists_alternate,Ausar Thompson,,,2025-03-03 23:03:33.445206,,,,,,,5.5,370.0,,,,,,,,,,,,,,370.0,,fanduel,,5.5,,5.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_points,Ausar Thompson,,,2025-03-03 23:03:33.445232,,,,,,,10.5,116.0,-154.0,,,,,,,,,,6.93,130.96,-130.96,116.0,-154.0,fanduel,fanduel,10.5,10.5,10.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_points_alternate,Ausar Thompson,,,2025-03-03 23:03:33.445268,,,,,,,14.5,630.0,,,,,,,,,,,,,,630.0,,fanduel,,14.5,,14.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_rebounds,Ausar Thompson,,,2025-03-03 23:03:33.445293,,,,,,,4.5,-233.0,168.0,,,,,,,,,,7.28,-187.52,187.52,-233.0,168.0,fanduel,fanduel,4.5,4.5,4.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_rebounds_alternate,Ausar Thompson,,,2025-03-03 23:03:33.445309,,,,,,,5.5,1000.0,,,,,,,,,,,,,,1000.0,,fanduel,,5.5,,5.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_threes,Brice Sensabaugh,,,2025-03-03 23:03:33.445122,,,,0.5,145.0,-189.0,,,,,,,,,,,,,6.21,160.22,-160.22,145.0,-189.0,draftkings,draftkings,0.5,0.5,0.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_threes,Cade Cunningham,,,2025-03-03 23:03:33.445089,,,,1.5,190.0,-256.0,,,,,,,,,,,,,6.39,208.54,-208.54,190.0,-256.0,draftkings,draftkings,1.5,1.5,1.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_threes,Cody Williams,,,2025-03-03 23:03:33.445137,,,,0.5,450.0,-714.0,,,,,,,,,,,,,5.9,482.43,-482.43,450.0,-714.0,draftkings,draftkings,0.5,0.5,0.5,median
basketball_nba,a2656e442abab0ceb73d1043afaddc31,2025-03-04T02:10:00Z,Detroit Pistons,Utah Jazz,player_threes,Collin Sexton,,,2025-03-03 23:03:33.445144,,,,0.5,700.0,-1250.0,,,,,,,,,,,,,5.09,740.74,-740.74,700.0,-1250.0,draftkings,draftkings,0.5,0.5,0.5,median
