sport,game_id,game_start,away_team,home_team,market,player_name,player_team,player_position,timestamp,draftkings_line,draftkings_under_price,draftkings_over_price,fanduel_line,fanduel_over_price,fanduel_under_price,pinnacle_line,pinnacle_over_price,pinnacle_under_price,bovada_line,bovada_over_price,bovada_under_price,williamhill_us_line,williamhill_us_over_price,williamhill_us_under_price,fanatics_line,fanatics_over_price,fanatics_under_price,betmgm_line,betmgm_over_price,betmgm_under_price,betonlineag_line,betonlineag_over_price,betonlineag_under_price,bet_id,duration
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Josh Giddey,,,2025-04-17 00:16:54.201093,8.5,1.77,2.0,7.5,1.76,2.0,9.5,1.98,1.77,,,,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Josh Giddey_draftkings_line:8.5_draftkings_over_price:2.0_draftkings_under_price:1.77_fanduel_line:7.5_fanduel_over_price:1.76_fanduel_under_price:2.0_pinnacle_line:9.5_pinnacle_over_price:1.98_pinnacle_under_price:1.77,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Tyler Herro,,,2025-04-17 00:16:54.201093,6.5,1.7,2.1,5.5,1.6,2.24,5.5,1.84,1.9,5.5,1.59,2.3,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Tyler Herro_bovada_line:5.5_bovada_over_price:1.59_bovada_under_price:2.3_draftkings_line:6.5_draftkings_over_price:2.1_draftkings_under_price:1.7_fanduel_line:5.5_fanduel_over_price:1.6_fanduel_under_price:2.24_pinnacle_line:5.5_pinnacle_over_price:1.84_pinnacle_under_price:1.9,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Davion Mitchell,,,2025-04-17 00:16:54.201093,5.5,2.15,1.68,5.5,1.82,1.93,5.5,1.93,1.81,5.5,1.87,1.87,6.5,2.11,1.62,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Davion Mitchell_bovada_line:5.5_bovada_over_price:1.87_bovada_under_price:1.87_draftkings_line:5.5_draftkings_over_price:1.68_draftkings_under_price:2.15_fanduel_line:5.5_fanduel_over_price:1.82_fanduel_under_price:1.93_pinnacle_line:5.5_pinnacle_over_price:1.93_pinnacle_under_price:1.81_williamhill_us_line:6.5_williamhill_us_over_price:2.11_williamhill_us_under_price:1.62,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Bam Adebayo,,,2025-04-17 00:16:54.201093,5.5,1.65,2.2,5.5,2.3,1.57,4.5,1.96,1.79,4.5,1.65,2.2,5.5,2.15,1.6,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Bam Adebayo_bovada_line:4.5_bovada_over_price:1.65_bovada_under_price:2.2_draftkings_line:5.5_draftkings_over_price:2.2_draftkings_under_price:1.65_fanduel_line:5.5_fanduel_over_price:2.3_fanduel_under_price:1.57_pinnacle_line:4.5_pinnacle_over_price:1.96_pinnacle_under_price:1.79_williamhill_us_line:5.5_williamhill_us_over_price:2.15_williamhill_us_under_price:1.6,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Coby White,,,2025-04-17 00:16:54.201093,4.5,1.68,2.15,3.5,1.72,2.04,4.5,1.98,1.77,,,,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Coby White_draftkings_line:4.5_draftkings_over_price:2.15_draftkings_under_price:1.68_fanduel_line:3.5_fanduel_over_price:1.72_fanduel_under_price:2.04_pinnacle_line:4.5_pinnacle_over_price:1.98_pinnacle_under_price:1.77,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Kevin Huerter,,,2025-04-17 00:16:54.201093,3.5,1.68,2.15,2.5,1.55,2.36,2.5,1.59,2.26,,,,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Kevin Huerter_draftkings_line:3.5_draftkings_over_price:2.15_draftkings_under_price:1.68_fanduel_line:2.5_fanduel_over_price:1.55_fanduel_under_price:2.36_pinnacle_line:2.5_pinnacle_over_price:1.59_pinnacle_under_price:2.26,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Alec Burks,,,2025-04-17 00:16:54.201093,2.5,2.3,1.6,,,,,,,,,,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Alec Burks_draftkings_line:2.5_draftkings_over_price:1.6_draftkings_under_price:2.3,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Andrew Wiggins,,,2025-04-17 00:16:54.201093,2.5,2.15,1.68,,,,3.5,2.32,1.56,,,,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Andrew Wiggins_draftkings_line:2.5_draftkings_over_price:1.68_draftkings_under_price:2.15_pinnacle_line:3.5_pinnacle_over_price:2.32_pinnacle_under_price:1.56,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_assists,Nikola Vucevic,,,2025-04-17 00:16:54.201093,2.5,2.15,1.68,,,,3.5,1.83,1.91,,,,,,,,,,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_assists_Nikola Vucevic_draftkings_line:2.5_draftkings_over_price:1.68_draftkings_under_price:2.15_pinnacle_line:3.5_pinnacle_over_price:1.83_pinnacle_under_price:1.91,0
basketball_nba,bd807e6a63c25eaf7a43a16336214448,2025-04-16 23:43:46+00:00,Miami Heat,Chicago Bulls,player_points,Tyler Herro,,,2025-04-17 00:16:54.201093,35.5,1.91,1.83,36.5,1.88,1.88,24.5,1.77,1.98,37.5,1.87,1.87,,,,36.5,1.8,1.95,,,,,,,bd807e6a63c25eaf7a43a16336214448_player_points_Tyler Herro_bovada_line:37.5_bovada_over_price:1.87_bovada_under_price:1.87_draftkings_line:35.5_draftkings_over_price:1.83_draftkings_under_price:1.91_fanatics_line:36.5_fanatics_over_price:1.8_fanatics_under_price:1.95_fanduel_line:36.5_fanduel_over_price:1.88_fanduel_under_price:1.88_pinnacle_line:24.5_pinnacle_over_price:1.77_pinnacle_under_price:1.98,0
