Timestamp,Player Name,Player Prop,Best Over,Best Under,BetMGM Over,BetMGM Under,DraftKings Over,DraftKings Under,FanDuel Over,FanDuel Under,Caesars Over,Caesars Under,ESPN_Bet Over,ESPN_Bet Under
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Fantasy Score,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Player to score the most points,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:05:10,Stephen Curry,Stephen Curry - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Player to score the most points,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Fantasy Score,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:05:37,Lebron James,Lebron James - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Player to score the most points,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Fantasy Score,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:06:02,Kevin Durant,Kevin Durant - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:27,Luka Doncic,Luka Doncic - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Fantasy Score,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Player to score the most points,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:06:51,Giannis Antetokounmpo,Giannis Antetokounmpo - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Player to score the most points,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:07:15,Joel Embiid,Joel Embiid - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Points Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Player to score the most points,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Fantasy Score,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Threes Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Steals Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Points + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - To score a Double DoubleTo score a Double Double,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Rebounds + Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Points + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:07:41,Nikola Jokic,Nikola Jokic - Blocks Over/Under,,,,,,,,,,,,
2024-10-30 20:08:05,Jayson Tatum,Jayson Tatum - Assists Over/Under,,,,,,,,,,,,
2024-10-30 20:08:05,Jayson Tatum,Jayson Tatum - Threes Over/Under,O 2.5(-150),U 2.5(+105),,,,,,,,,,
2024-10-30 20:08:05,Jayson Tatum,Jayson Tatum - Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:08:05,Jayson Tatum,Jayson Tatum - Points + Assists + Rebounds Over/Under,,,,,,,,,,,,
2024-10-30 20:08:05,Jayson Tatum,Jayson Tatum - Player to Score the First Basket,,,,,,,,,,,,
2024-10-30 20:08:05,Jayson Tatum,Jayson Tatum - Steals Over/Under,,,,,,,,,,,,
